id_cliente,idade,renda_anual,divida_atual,historico_pagamento,score_externo,inadimplente
10073,41,105687,19229,56.8,585,1
10074,40,44125,8801,32.6,465,0
10075,31,15000,4646,23.1,377,0
10076,46,33863,34750,26.3,708,0
10077,54,46418,11385,0.0,556,0
10078,38,22734,1671,23.5,403,0
10079,46,15000,45698,26.3,909,0
10080,48,74171,19334,79.6,550,1
10081,18,15000,1718,10.5,399,0
10082,53,73862,38893,66.3,712,0
10083,44,15000,7613,30.6,345,0
10084,40,73631,40783,61.1,675,0
10085,48,47213,39733,48.6,768,0
10086,42,42592,73762,27.1,288,1
10087,32,56898,21198,0.0,571,0
10088,31,116708,11240,46.3,635,1
10089,47,74787,27937,84.7,488,1
10090,28,54679,33984,34.1,565,0
10091,23,61794,20950,14.6,562,0
10092,40,73489,27625,59.3,706,0
10093,35,75350,14154,66.6,635,1
10094,22,17010,4111,6.3,454,0
10095,41,61362,90737,0.0,414,1
10096,24,10308,49149,8.7,434,1
10097,29,15000,41468,37.0,806,0
10098,19,20518,9934,20.5,383,0
10099,44,22363,7436,14.6,418,0
10100,29,12797,74845,0.0,358,1
10101,23,46836,48368,59.5,753,0
10102,29,51030,25443,22.2,727,0
10103,27,22645,8061,99.4,311,0
10104,18,34267,38548,26.0,785,0
10105,43,15000,41125,21.3,833,0
10106,29,17625,50419,37.5,730,0
10107,46,54167,5956,37.8,492,0
10108,28,12558,105605,19.3,373,1
10109,47,60626,20212,87.9,536,1
10110,18,56082,34639,57.0,748,0
10111,44,15000,5762,2.9,360,0
10112,32,15000,40623,26.8,689,0
10113,48,23797,5180,59.7,377,0
10114,46,37339,31043,38.5,634,0
10115,36,15000,49157,2.2,614,0
10116,28,15000,50340,12.8,553,0
10117,18,48532,13633,63.5,440,0
10118,25,57438,33886,29.5,632,0
10119,18,15000,17169,36.0,277,0
10120,50,15000,3529,0.0,404,0
10121,18,16655,48785,0.0,785,0
10122,59,15000,52108,10.6,611,0
10123,18,71084,37094,79.4,488,1
10124,44,49640,34143,39.8,677,0
10125,23,85121,24075,81.6,526,1
10126,46,18885,74432,52.3,393,1
10127,26,15000,12121,36.4,253,0
10128,18,44991,132264,22.2,533,1
10129,41,24455,28130,31.9,757,0
10130,49,15000,20226,47.1,244,0
10131,25,15000,16030,42.1,302,0
10132,35,55513,48641,57.8,643,0
10133,35,98900,24,73.6,552,1
10134,38,16986,37109,28.4,648,0
10135,18,15000,36203,25.7,696,0
10136,40,64715,37513,55.0,783,0
10137,36,15000,43692,21.3,870,0
10138,28,26663,49419,47.7,860,0
10139,54,34202,6053,33.3,439,0
10140,25,15000,47362,0.0,785,0
10141,26,27918,3686,17.8,421,0
10142,19,15000,9859,17.6,362,0
10143,20,54768,34496,40.0,742,0
10144,21,26679,21485,0.0,286,1
10145,45,67609,37782,55.0,617,0
10146,46,87902,32360,86.2,671,1
10147,57,89500,25606,83.6,640,1
10148,18,63373,16739,85.0,528,1
10149,31,9692,23542,6.3,208,1
10150,35,67225,35642,37.0,570,0
10151,28,42409,35589,34.7,575,0
10152,21,15000,30280,16.9,267,0
10153,26,24736,6488,0.0,491,0
10154,50,99922,19530,79.6,801,1
10155,51,51013,23653,0.0,592,0
10156,26,24237,39630,15.6,529,0
10157,22,9928,68199,0.0,722,1
10158,49,15000,54491,18.3,752,0
10159,46,15000,43001,10.5,815,0
10160,36,61605,36681,0.0,421,1
10161,46,81433,35735,5.7,666,0
10162,35,69922,860,85.2,644,1
10163,34,15000,55925,0.0,566,0
10164,21,23966,50640,0.0,326,1
10165,19,23076,39057,36.2,780,0
10166,35,28772,37663,8.8,628,0
10167,61,30477,69296,0.0,361,1
10168,46,17253,2545,0.3,436,0
10169,45,90751,4462,52.1,479,1
10170,52,16204,5051,46.4,342,0
10171,44,15924,11863,21.8,377,0
10172,33,15000,44361,20.9,757,0
10173,41,23083,34864,18.5,701,0
10174,31,32128,41401,20.3,645,0
10175,20,31374,3607,12.1,434,0
10176,18,12456,108621,14.3,364,1
10177,43,36160,13832,0.0,480,0
10178,35,83092,15701,71.4,651,1
10179,44,76765,33065,55.0,544,0
10180,32,41208,76034,13.2,458,1
10181,28,11984,36912,0.9,291,1
10182,18,30119,10626,56.6,374,0
10183,28,58337,42863,67.5,617,0
10184,37,15000,5383,31.2,367,0
10185,49,42545,41080,35.6,643,0
10186,34,68182,20270,44.4,727,0
10187,32,116059,26235,35.0,660,1
10188,27,31667,50981,32.7,587,0
10189,30,15000,7415,48.0,322,0
10190,40,96899,5273,58.0,492,1
10191,21,21784,36376,11.2,621,0
10192,42,95821,22601,31.3,614,1
10193,30,15000,35634,0.0,830,0
10194,21,16244,34437,54.1,966,0
10195,24,27716,2690,29.9,398,0
10196,41,15000,1199,2.2,397,0
10197,40,70991,4396,67.3,687,1
10198,31,19209,47144,14.4,637,0
10199,18,15000,9192,0.0,469,0
10200,37,22077,43197,41.6,840,0
10201,47,24222,48318,0.0,200,1
10202,52,54246,13158,32.8,513,0
10203,50,15000,10335,9.9,373,0
10204,50,37205,39260,0.0,321,1
10205,49,19828,42663,28.0,811,0
10206,38,45073,41101,58.0,716,0
10207,54,32186,64200,7.8,809,0
10208,50,16802,4694,0.0,509,0
10209,18,98850,24976,55.8,562,1
10210,32,15000,38705,3.4,683,0
10211,41,67500,23680,70.7,566,1
10212,18,26668,52665,37.4,371,1
10213,37,58826,7826,15.5,535,0
10214,55,78031,24156,67.0,581,1
10215,21,53187,36231,33.5,614,0
10216,34,15000,10860,26.8,329,0
10217,29,100047,23925,51.3,691,1
10218,33,15285,39617,0.0,704,0
10219,19,15000,7642,0.0,380,0
10220,30,22387,35906,4.1,672,0
10221,43,29288,589,47.6,378,0
10222,63,73046,5115,77.4,566,1
10223,31,89515,27138,39.2,593,1
10224,35,101058,41684,43.9,630,1
10225,42,68275,53397,84.2,512,1
10226,18,99261,8024,61.5,499,1
10227,31,9385,32318,0.0,286,1
10228,36,37936,93873,13.1,340,1
10229,40,40621,38932,35.2,622,0
10230,44,13308,28952,0.0,333,1
10231,48,47495,10932,19.1,496,0
10232,18,42693,1262,24.6,457,0
10233,30,15000,17974,81.7,288,0
10234,29,18483,49547,0.0,664,0
10235,50,43675,11200,15.0,489,0
10236,21,15000,21094,9.6,278,0
10237,24,77747,36384,73.7,760,0
10238,57,16825,7996,0.0,446,0
10239,46,49171,6342,58.5,448,0
10240,18,50082,26755,0.0,200,1
10241,31,55011,27118,41.5,702,0
10242,33,12753,24419,8.2,238,1
10243,49,15000,36144,15.4,706,0
10244,34,61073,15440,38.5,520,0
10245,48,62447,24146,71.9,616,1
10246,43,70062,35827,65.1,665,0
10247,36,103618,25838,57.5,648,1
10248,18,15000,30872,18.5,697,0
10249,18,38225,2585,69.4,386,0
10250,21,65922,27165,36.1,551,0
10251,23,12573,42739,0.0,804,1
10252,34,45045,1141,48.9,443,0
10253,29,49794,95797,16.7,408,1
10254,28,56673,14166,27.7,510,0
10255,29,75220,30608,20.1,553,0
10256,46,49409,3526,39.3,461,0
10257,18,82934,19531,54.7,496,1
10258,26,106499,24990,66.6,545,1
10259,18,22505,37361,9.6,200,1
10260,31,33310,76042,21.0,405,1
10261,43,37503,33811,0.0,773,0
10262,30,54368,43096,36.5,717,0
10263,50,105405,4618,71.1,600,1
10264,46,67999,12775,71.6,687,1
10265,49,34152,1834,0.0,544,0
10266,45,30385,4185,77.1,319,0
10267,44,61883,133520,4.8,568,1
10268,45,15000,36027,14.5,732,0
10269,54,24289,39017,0.0,731,0
10270,26,48678,28724,36.4,581,0
10271,32,44906,23406,0.0,563,0
10272,25,24028,47434,38.0,643,0
10273,36,21433,22722,0.0,524,0
10274,33,15821,4259,39.3,351,0
10275,22,24125,8456,19.2,398,0
10276,23,15000,42994,6.9,733,0
10277,47,29170,11177,8.9,417,0
10278,44,15000,42072,2.1,664,0
10279,27,26796,8569,10.6,453,0
10280,32,43387,38451,38.9,777,0
10281,18,15000,4960,3.1,413,0
10282,39,66067,36960,32.0,672,0
10283,19,15000,11352,12.6,345,0
10284,45,39234,1537,43.4,411,0
10285,58,48351,45777,41.9,539,0
10286,22,15000,14351,20.5,322,0
10287,36,15000,51481,29.2,602,0
10288,35,15000,40156,9.3,855,0
10289,47,35482,12836,7.9,479,0
10290,34,30253,29838,28.6,696,0
10291,37,19940,5860,43.0,343,0
10292,50,22945,229,8.6,415,0
10293,28,15000,39211,0.0,618,0
10294,38,65956,37439,76.9,596,1
10295,43,96972,2595,70.2,643,1
10296,25,36318,9510,79.7,319,0
10297,41,19549,36559,13.6,699,0
10298,41,111155,29639,9.8,544,1
10299,40,15000,44096,26.0,721,0
10300,30,34268,42294,28.3,771,0
10301,53,15000,22122,35.3,263,0
10302,18,61963,11086,82.9,589,1
10303,27,40116,57694,24.9,518,0
10304,44,33092,32220,22.2,560,0
10305,50,33541,57715,30.6,596,0
10306,24,35655,15211,7.0,489,0
10307,27,45169,34644,43.1,723,0
10308,48,12721,47333,0.0,533,1
10309,22,26003,8984,24.8,423,0
10310,44,50760,10225,42.0,492,0
10311,18,31167,29022,0.0,245,1
10312,44,15000,48728,23.1,686,0
10313,23,38227,908,26.1,475,0
10314,20,24134,3737,32.3,384,0
10315,43,62796,33273,50.4,581,0
10316,21,31048,3347,15.9,443,0
10317,44,39790,13422,0.0,493,0
10318,32,58878,32171,68.6,512,1
10319,37,24266,43515,10.8,551,0
10320,34,31176,40866,22.8,692,0
10321,44,82369,9905,70.7,871,1
10322,26,27737,64791,0.0,434,1
10323,47,23736,45602,0.0,545,0
10324,22,55320,8977,86.2,388,0
10325,30,27361,14773,0.0,426,1
10326,38,28923,7965,29.8,405,0
10327,41,15000,33695,13.6,787,0
10328,31,18042,46053,0.0,617,0
10329,25,15000,44023,0.0,513,0
10330,40,16117,46386,0.0,717,0
10331,40,65459,23358,56.9,725,0
10332,27,15000,31029,14.8,740,0
10333,43,49503,107227,10.2,501,1
10334,56,15000,1399,18.5,376,0
10335,39,30727,38933,38.0,710,0
10336,38,77801,2926,67.0,541,1
10337,57,13462,73818,17.9,448,1
10338,36,10362,67034,1.4,376,1
10339,18,26366,40872,0.0,715,0
10340,35,86213,7700,69.9,538,1
10341,46,46922,13211,15.9,508,0
10342,30,20324,657,27.5,356,0
10343,39,13088,16740,0.0,200,1
10344,41,25498,10779,67.2,323,0
10345,39,87803,28798,66.0,479,1
10346,41,101439,27817,52.4,520,0
10347,28,64348,18202,86.9,549,1
10348,28,15000,24443,49.8,280,0
10349,32,43387,15734,27.7,489,0
10350,59,26608,70174,5.8,283,1
10351,45,17415,33947,0.0,575,0
10352,23,40178,4492,51.4,418,0
10353,23,80247,10818,71.0,579,1
10354,18,80919,43313,64.6,723,0
10355,41,102490,1070,70.2,599,1
10356,31,83388,2294,80.4,695,1
10357,23,15000,40273,0.0,753,0
10358,47,92898,21423,75.0,725,1
10359,41,15000,21702,49.9,243,0
10360,36,67202,33099,84.8,641,1
10361,28,13106,93161,24.6,333,1
10362,18,28450,34691,0.0,287,1
10363,34,84267,15989,84.1,556,1
10364,24,48423,41798,45.4,626,0
10365,44,47596,41838,65.1,756,0
10366,54,70313,39257,42.4,455,0
10367,31,50220,59552,0.0,373,1
10368,42,28938,41803,33.1,873,0
10369,70,68922,44103,74.7,546,1
10370,18,38655,40462,36.5,744,0
10371,52,86137,47312,50.2,503,0
10372,52,38393,7062,15.4,481,0
10373,46,15000,9900,0.0,487,0
10374,35,40551,2614,58.2,392,0
10375,52,34091,2475,28.6,446,0
10376,44,49794,37592,24.7,573,0
10377,18,87471,38100,59.9,680,0
10378,51,15000,45006,15.2,790,0
10379,47,34367,38014,55.7,770,0
10380,18,33640,3709,64.9,376,0
10381,44,21842,4285,60.2,364,0
10382,43,29415,41513,19.9,320,1
10383,47,44870,11388,1.3,520,0
10384,33,15000,45259,0.2,658,0
10385,37,79192,41860,73.0,608,1
10386,33,13106,59464,11.7,335,1
10387,47,27104,39902,25.1,694,0
10388,28,29863,5022,21.8,438,0
10389,20,17015,18485,84.2,279,0
10390,47,79403,1723,68.7,571,1
10391,40,20249,6704,45.2,358,0
10392,18,15000,41906,1.2,692,0
10393,33,37716,52502,0.0,359,1
10394,41,68826,83193,0.0,380,1
10395,33,47465,5909,43.2,459,0
10396,18,23945,49164,10.6,497,0
10397,55,30100,68366,0.0,283,1
10398,30,112234,61161,54.2,717,1
10399,18,15000,44161,19.7,754,0
10400,35,22129,34220,23.6,678,0
10401,44,49814,101492,18.3,518,1
10402,18,20171,11666,47.4,346,0
10403,23,30536,26581,29.4,652,0
10404,18,69415,12659,53.9,517,0
10405,45,23577,1737,7.5,423,0
10406,41,11869,71537,13.4,463,1
10407,18,68242,45622,77.2,469,1
10408,38,87524,34256,55.7,708,0
10409,51,12356,73344,6.6,418,1
10410,27,88939,7130,68.5,566,1
10411,28,43659,3107,55.0,422,0
10412,36,27274,3218,7.7,434,0
10413,34,28496,45339,50.3,807,0
10414,62,11026,70459,20.8,341,1
10415,32,15862,42220,6.1,767,0
10416,22,18607,41904,17.8,621,0
10417,36,34052,25644,0.0,315,1
10418,26,38420,4353,50.9,422,0
10419,39,45827,2833,31.2,470,0
10420,22,67203,42561,68.0,728,0
10421,47,15000,47565,19.4,884,0
10422,39,49465,22152,11.7,524,0
10423,32,84280,2491,84.9,728,1
10424,28,15000,8470,66.9,296,0
10425,30,26157,7418,0.0,200,1
10426,44,28878,4081,49.5,380,0
10427,48,107090,12724,67.5,715,1
10428,18,43414,30031,0.0,562,0
10429,18,71893,3648,67.7,709,1
10430,32,15000,32702,0.0,672,0
10431,34,31299,6344,26.8,437,0
10432,49,15000,15482,27.9,362,0
10433,50,56882,42676,0.0,803,0
10434,48,60570,6779,89.9,575,1
10435,34,15000,41778,16.6,724,0
10436,18,51519,32752,43.9,708,0
10437,38,21362,1093,65.6,328,0
10438,27,115710,36747,43.0,628,1
10439,34,52513,7419,100.0,343,0
10440,35,73095,11594,67.6,635,1
10441,20,49907,7620,60.1,463,0
10442,34,106985,11908,65.8,539,1
10443,35,42626,10973,34.7,452,0
10444,49,38773,43787,43.3,701,0
10445,24,70745,32350,69.7,689,0
10446,35,15000,10323,0.0,345,0
10447,39,15000,42284,0.0,576,0
10448,50,18874,8368,2.7,406,0
10449,47,31564,4839,5.7,478,0
10450,46,25677,36591,10.7,675,0
10451,21,48740,54980,0.0,811,0
10452,28,85238,12222,68.5,480,1
10453,18,99025,16245,67.7,498,1
10454,50,40996,3879,59.5,386,0
10455,39,24632,50540,0.0,703,1
10456,46,15000,46048,0.0,748,0
10457,49,23730,7135,48.5,331,0
10458,20,52999,5397,31.6,455,0
10459,24,15000,8366,0.0,409,0
10460,31,24187,52091,0.0,232,1
10461,36,29508,53521,0.0,628,0
10462,35,32854,69430,0.0,326,1
10463,36,30220,49072,34.9,798,0
10464,45,101283,42762,22.5,680,1
10465,41,12000,59213,19.5,284,1
10466,35,26363,19375,34.1,225,0
10467,53,30573,39343,60.2,200,0
10468,42,74560,73347,0.0,490,1
10469,31,70611,30573,52.9,608,0
10470,26,22434,43553,17.0,700,0
10471,38,75580,23128,56.8,593,0
10472,49,44555,47947,37.6,628,0
10473,34,48432,106498,15.1,505,1
10474,34,48399,2739,41.6,465,0
10475,39,15000,42595,0.0,686,0
10476,37,12289,59630,0.0,200,1
10477,59,37196,9514,19.7,445,0
10478,39,34685,1571,75.7,380,0
10479,39,36012,74820,3.6,338,1
10480,21,64162,35397,71.0,645,0
10481,36,15000,6316,40.0,320,0
10482,28,45649,32005,23.5,608,0
10483,34,33655,7752,35.0,424,0
10484,33,48552,75894,0.0,315,1
10485,36,68200,84371,0.0,455,1
10486,28,104753,29769,71.2,497,0
10487,29,21492,48692,39.9,778,0
10488,56,44422,41004,56.2,564,0
10489,18,48205,36413,34.5,665,0
10490,35,16341,7324,0.0,324,0
10491,33,46915,93366,50.5,465,1
10492,46,77226,43212,66.5,873,1
10493,42,19919,81758,35.9,454,1
10494,32,17343,50581,18.8,672,0
10495,35,13102,41485,17.5,264,1
10496,26,17296,46276,33.3,699,0
10497,18,57608,108100,9.3,409,1
10498,40,79910,9167,64.4,513,1
10499,37,33899,1267,8.3,458,0
10500,41,11140,60830,4.2,293,1
10501,41,26824,32005,33.3,790,0
10502,35,15278,5485,32.9,356,0
10503,24,34119,29736,17.6,720,0
10504,18,46604,44921,0.0,844,0
10505,27,15000,45494,3.4,784,0
10506,32,15000,29292,75.3,247,0
10507,18,36182,41114,21.2,433,0
10508,25,11777,43453,0.0,274,1
10509,41,23586,54010,0.0,263,1
10510,26,38088,11813,73.2,363,0
10511,53,85216,20456,59.1,681,1
10512,19,34025,34514,29.8,810,0
10513,35,69445,6241,84.6,677,1
10514,41,96379,36840,100.0,754,0
10515,45,15000,10248,4.3,340,0
10516,27,37874,22620,0.0,523,0
10517,18,88052,4866,74.1,769,1
10518,37,29899,4437,47.2,389,0
10519,36,51010,15817,34.7,497,0
10520,44,19496,20527,93.6,261,0
10521,47,15000,13070,58.1,309,0
10522,18,21835,11390,20.8,401,0
10523,31,39672,8474,100.0,328,0
10524,45,88218,10426,48.5,595,1
10525,27,78068,28307,86.1,539,1
10526,40,61325,39566,82.3,508,1
10527,40,15000,44301,21.9,725,0
10528,32,16326,51991,16.4,292,1
10529,38,93031,43886,77.9,620,0
10530,59,60992,6421,37.9,495,0
10531,32,69463,63009,0.0,328,1
10532,21,31714,58659,0.0,363,1
10533,18,16182,21768,54.9,310,0
10534,38,15000,52851,21.5,870,0
10535,47,15000,26334,100.0,204,0
10536,22,27209,38165,0.0,226,1
10537,43,24556,46044,8.7,506,0
10538,18,27553,42107,22.7,746,0
10539,25,64731,31565,62.5,719,0
10540,32,15000,5072,0.0,380,0
10541,40,15000,48009,0.0,680,0
10542,48,15000,6908,62.4,278,0
10543,18,18298,45848,0.0,859,0
10544,25,47656,17763,0.0,587,0
10545,24,104410,31935,62.1,712,1
10546,48,76421,10897,52.8,473,1
10547,45,39714,57469,0.0,309,1
10548,58,57112,19452,41.5,503,0
10549,37,65382,21880,76.0,515,0
10550,51,12831,70047,21.7,346,1
10551,26,33460,50394,37.5,630,0
10552,41,15609,12530,0.0,463,0
10553,23,81898,10307,44.8,603,1
10554,30,61858,17697,24.6,562,0
10555,23,65260,10173,74.7,670,1
10556,38,30632,16677,17.0,466,0
10557,47,11620,12621,0.0,255,1
10558,28,31709,42953,68.3,856,0
10559,42,82331,31436,55.8,726,1
10560,30,83254,44275,61.0,591,0
10561,30,70401,32952,55.5,630,0
10562,56,48039,16193,7.8,526,0
10563,38,42661,35319,45.8,749,0
10564,31,62855,24481,31.6,541,0
10565,41,23853,3301,4.3,440,0
10566,36,15000,16959,67.2,276,0
10567,22,42224,862,0.2,491,0
10568,36,15000,23075,37.7,282,0
10569,40,76443,28664,46.9,626,1
10570,27,15000,20662,41.7,246,0
10571,38,15000,46205,33.4,784,0
10572,30,15000,10778,10.7,347,0
10573,42,25538,3594,47.9,394,0
10574,34,71004,22613,72.4,555,1
10575,50,15000,41187,3.1,647,0
10576,48,15000,47670,21.0,641,0
10577,18,72028,24331,44.2,741,0
10578,27,107678,40709,53.3,641,1
10579,35,50930,25293,0.0,598,0
10580,43,31086,46576,44.9,694,0
10581,18,13303,41067,8.2,326,1
10582,35,20015,41769,12.7,237,1
10583,30,15116,11145,42.4,316,0
10584,35,22830,8984,65.2,349,0
10585,30,49780,13671,18.4,511,0
10586,18,93202,2379,45.6,515,1
10587,24,34245,3637,12.5,458,0
10588,50,33825,42928,29.2,696,0
10589,18,79645,24295,74.3,698,1
10590,42,82207,24517,71.9,752,1
10591,31,44162,77738,19.0,428,1
10592,47,22888,11228,0.0,249,1
10593,37,53569,12983,0.0,200,1
10594,40,79791,60558,0.0,408,1
10595,33,9150,5218,6.8,200,1
10596,38,20004,52261,0.0,706,0
10597,39,37352,16643,0.0,509,0
10598,49,12172,62750,0.0,347,1
10599,37,71633,17455,55.0,557,1
10600,48,46204,13011,62.5,441,0
10601,53,15000,48935,23.1,608,0
10602,25,67400,76863,0.2,281,1
10603,18,91467,12105,54.2,538,1
10604,46,87449,11185,82.7,760,1
10605,55,20363,48968,0.0,221,1
10606,55,56531,24738,32.4,533,0
10607,33,62869,7812,77.5,552,1
10608,42,54405,2588,42.8,467,0
10609,56,20492,15777,53.9,319,0
10610,26,81190,16398,79.9,517,0
10611,29,28283,6455,63.4,371,0
10612,42,20036,11192,53.3,345,0
10613,48,57728,33758,44.2,603,0
10614,39,101422,21227,44.1,700,1
10615,52,16521,39883,20.0,604,0
10616,48,19112,56736,23.0,577,0
10617,40,15000,44096,25.4,597,0
10618,30,15789,3108,48.1,346,0
10619,18,15000,7537,0.0,344,0
10620,40,15000,9749,49.6,290,0
10621,42,42908,21505,7.3,536,0
10622,37,15000,49983,27.6,889,0
10623,40,103724,16451,68.4,764,1
10624,25,15680,6319,17.5,383,0
10625,52,15000,50446,0.0,645,0
10626,45,14866,61420,23.7,278,1
10627,21,91616,6707,74.2,602,1
10628,41,34610,9584,62.2,373,0
10629,50,13409,40352,0.0,200,1
10630,33,38468,3272,89.7,341,0
10631,20,15000,49281,2.9,582,0
10632,23,15840,23016,0.0,214,1
10633,49,13337,57986,0.0,336,1
10634,29,45290,9308,84.8,347,0
10635,22,16103,47411,1.6,324,1
10636,28,50146,831,92.3,377,0
10637,29,18769,69765,12.4,370,1
10638,36,15000,3794,0.0,387,0
10639,27,93293,8956,61.8,473,1
10640,50,15000,51096,3.0,511,0
10641,33,39489,55942,16.6,323,1
10642,31,74223,48726,0.0,480,1
10643,22,18465,45819,9.3,662,0
10644,51,53164,30554,34.3,531,0
10645,45,20179,16956,46.5,340,0
10646,61,25268,7607,16.6,429,0
10647,39,34233,1668,35.2,418,0
10648,20,26648,31865,42.4,952,0
10649,49,51007,22711,19.0,518,0
10650,29,125034,14953,53.5,638,1
10651,30,15000,46349,24.6,736,0
10652,47,15142,6482,0.0,294,1
10653,29,47047,42555,34.8,671,0
10654,33,14374,60976,21.9,338,1
10655,49,43335,6050,57.8,421,0
10656,18,26120,2796,29.3,408,0
10657,38,10790,88248,28.4,326,1
10658,29,25338,21347,90.7,247,0
10659,46,106577,26257,74.1,556,0
10660,18,58154,56721,0.0,682,0
10661,41,45389,65059,0.0,301,1
10662,46,15000,61199,0.0,552,0
10663,38,77461,33017,50.8,813,0
10664,31,15000,48837,4.7,541,0
10665,31,15000,46018,43.9,924,0
10666,30,37274,7084,88.2,357,0
10667,42,53282,18630,0.0,562,0
10668,56,15000,9584,40.8,293,0
10669,41,61008,33941,33.2,552,0
10670,39,34213,4270,39.7,400,0
10671,35,85452,15502,56.5,537,0
10672,40,42021,8652,26.4,457,0
10673,41,15000,51269,2.2,769,0
10674,38,15000,18529,46.2,287,0
10675,39,21116,13037,41.1,367,0
10676,27,15000,17934,0.0,321,0
10677,30,29189,15540,0.0,493,0
10678,42,15000,2013,0.0,434,0
10679,30,11714,89396,18.3,310,1
10680,46,28139,45315,0.0,348,1
10681,40,9049,44730,36.7,298,1
10682,35,62591,45911,87.2,425,1
10683,51,55887,2749,89.4,604,1
10684,37,23625,48577,17.2,608,0
10685,43,15000,42397,18.5,852,0
10686,40,15000,28664,15.7,262,0
10687,22,26870,11423,0.0,484,0
10688,28,20048,2051,32.9,403,0
10689,21,30372,52614,40.1,654,1
10690,29,15000,41756,17.7,774,0
10691,27,21001,36314,4.5,606,0
10692,36,16670,1954,0.0,414,0
10693,22,35846,15757,0.0,479,1
10694,18,15000,32314,1.0,868,0
10695,25,121350,32314,23.2,660,1
10696,18,81626,1755,81.0,625,1
10697,40,15000,11270,14.3,322,0
10698,32,15000,56453,0.0,581,0
10699,46,55011,56267,0.0,710,0
10700,41,33279,54705,0.0,206,1
10701,30,48187,16065,69.5,438,0
10702,25,15000,41328,0.0,809,0
10703,53,44600,4524,65.9,416,0
10704,21,13457,67145,7.8,312,1
10705,63,27270,33799,4.6,686,0
10706,38,46962,53303,0.0,735,0
10707,41,62930,28828,71.5,581,1
10708,23,28387,59896,22.7,432,1
10709,27,55786,16346,89.2,446,0
10710,27,17363,17089,43.7,321,0
10711,26,40745,33646,22.0,688,0
10712,27,22537,9052,53.2,345,0
10713,44,15000,25841,39.0,238,0
10714,55,36697,6899,15.2,470,0
10715,40,14281,7206,0.0,200,1
10716,35,91512,669,62.9,598,1
10717,43,27970,8813,45.9,397,0
10718,41,43586,61429,0.0,425,1
10719,40,15000,6870,9.9,394,0
10720,48,20423,2165,10.1,406,0
10721,49,13093,46327,4.3,289,1
10722,41,78153,16503,52.6,642,1
10723,51,99157,913,77.4,597,1
10724,18,66732,1568,70.3,610,1
10725,23,30500,43087,0.0,263,1
10726,39,49301,13367,44.2,474,0
10727,37,33383,2610,2.7,481,0
10728,58,67005,40937,76.3,625,1
10729,47,70898,38925,59.6,680,0
10730,27,74194,52735,79.0,465,1
10731,48,15000,1078,0.0,396,0
10732,33,68874,37452,45.3,587,0
10733,24,74204,55027,0.0,992,0
